chapter,question,mark,subject,source,usage_freq
1,Describe Android and its basic concept.,2,MA,bank,-
1,Identify the founders of Android Inc.,2,MA,bank,-
1,State the meaning of Open Handset Alliance (OHA).,2,MA,bank,-
1,Outline the structure of the Android ecosystem.,2,MA,bank,-
1,Mention any two key features of Android.,2,MA,bank,-
1,State the purpose of Android API.,2,MA,bank,-
1,Briefly state the role of middleware in Android.,2,MA,bank,-
1,State the function of Linux Kernel in Android.,2,MA,bank,-
1,State the purpose of Dalvik Virtual Machine.,2,MA,bank,-
1,What is meant by an APK file?,2,MA,bank,-
1,Elaborate on the important features of Android.,7,MA,bank,-
1,Describe the Android ecosystem with a neat diagram.,7,MA,bank,-
1,Discuss the Open Handset Alliance and its members.,7,MA,bank,-
1,Outline the layers of Android architecture.,7,MA,bank,-
1,Write a descriptive note on Android API levels.,7,MA,bank,-
1,Discuss the responsibilities of Linux Kernel in Android.,7,MA,bank,-
1,Illustrate Dalvik Virtual Machine with a diagram.,7,MA,bank,-
1,Analyze Android architecture in detail with a neat diagram.,15,MA,bank,-
1,Discuss Android ecosystem and Open Handset Alliance in detail.,15,MA,bank,-
1,Examine Android Runtime and Libraries layer.,15,MA,bank,-
1,Discuss Android OS features and advantages.,15,MA,bank,-
1,Analyze Android API levels and backward compatibility.,15,MA,bank,-
2,State the concept of an Activity in Android.,2,MA,bank,-
2,State the purpose of Intent.,2,MA,bank,-
2,Briefly describe Fragment in Android.,2,MA,bank,-
2,State the role of AndroidManifest.xml file.,2,MA,bank,-
2,What is meant by Activity lifecycle?,2,MA,bank,-
2,State the purpose of onCreate() method.,2,MA,bank,-
2,What is the use of startActivity()?,2,MA,bank,-
2,State the function of startActivityForResult().,2,MA,bank,-
2,Briefly describe AlertDialog.,2,MA,bank,-
2,Briefly describe ProgressDialog.,2,MA,bank,-
2,Describe Activity lifecycle with a diagram.,7,MA,bank,-
2,Discuss different types of Intents.,7,MA,bank,-
2,Outline the steps involved in creating an Activity.,7,MA,bank,-
2,Describe how an Activity is launched using Intent.,7,MA,bank,-
2,Discuss Fragments and their usage in Android.,7,MA,bank,-
2,Describe Themes and Styles in Android.,7,MA,bank,-
2,Discuss different types of Dialog boxes.,7,MA,bank,-
2,Explain Activity lifecycle in detail with diagram.,15,MA,bank,-
2,Analyze Activities and Intents with examples.,15,MA,bank,-
2,Elaborate on Dialog boxes and their types with examples.,15,MA,bank,-
2,Discuss implementation of Themes and Styles.,15,MA,bank,-
3,State the purpose of View in Android.,2,MA,bank,-
3,State the role of ViewGroup.,2,MA,bank,-
3,Briefly describe LinearLayout.,2,MA,bank,-
3,Briefly describe RelativeLayout.,2,MA,bank,-
3,State the purpose of ScrollView.,2,MA,bank,-
3,Briefly describe TableLayout.,2,MA,bank,-
3,Briefly describe FrameLayout.,2,MA,bank,-
3,What is meant by AdapterView?,2,MA,bank,-
3,Briefly describe AutoCompleteTextView.,2,MA,bank,-
3,What is meant by Menu in Android?,2,MA,bank,-
3,Describe Views and ViewGroups.,7,MA,bank,-
3,Discuss LinearLayout with its attributes.,7,MA,bank,-
3,Illustrate RelativeLayout with example.,7,MA,bank,-
3,Describe ScrollView layout.,7,MA,bank,-
3,Explain TableLayout with example.,7,MA,bank,-
3,Discuss FrameLayout and its usage.,7,MA,bank,-
3,Describe various Menus in Android.,7,MA,bank,-
3,Analyze different Android layouts with examples.,15,MA,bank,-
3,Compare LinearLayout and RelativeLayout in detail.,15,MA,bank,-
3,Illustrate ScrollView and TableLayout with code.,15,MA,bank,-
3,Discuss UI design using Views and ViewGroups.,15,MA,bank,-
3,Examine event handling and menu creation.,15,MA,bank,-
4,State the purpose of SharedPreferences.,2,MA,bank,-
4,What is meant by Internal Storage?,2,MA,bank,-
4,What is meant by External Storage?,2,MA,bank,-
4,Briefly describe SQLite database.,2,MA,bank,-
4,State the role of Content Provider.,2,MA,bank,-
4,What is meant by Cursor?,2,MA,bank,-
4,State the purpose of SQLiteOpenHelper.,2,MA,bank,-
4,What is meant by CRUD operations?,2,MA,bank,-
4,State the meaning of database version.,2,MA,bank,-
4,What is meant by primary key?,2,MA,bank,-
4,Illustrate SharedPreferences with example.,7,MA,bank,-
4,Describe Internal and External storage.,7,MA,bank,-
4,Discuss SQLite database in Android.,7,MA,bank,-
4,Describe SQLiteOpenHelper class.,7,MA,bank,-
4,Explain CRUD operations.,7,MA,bank,-
4,Discuss Content Providers.,7,MA,bank,-
4,Describe Cursor class.,7,MA,bank,-
4,Analyze Android data storage options.,15,MA,bank,-
4,Discuss SQLite architecture and operations.,15,MA,bank,-
4,Illustrate CRUD operations using SQLite.,15,MA,bank,-
4,Describe creation and usage of SQLite database.,15,MA,bank,-
4,Discuss Content Providers in detail.,15,MA,bank,-
5,State the purpose of ACTION_SEND intent.,2,MA,bank,-
5,What is meant by implicit intent?,2,MA,bank,-
5,State the use of EXTRA_EMAIL.,2,MA,bank,-
5,State the purpose of EXTRA_SUBJECT.,2,MA,bank,-
5,What is meant by mailto URI?,2,MA,bank,-
5,What is meant by an Email client?,2,MA,bank,-
5,State the use of Intent.EXTRA_TEXT.,2,MA,bank,-
5,What is the role of ACTION_CHOOSER?,2,MA,bank,-
5,Describe sending email using Intent.,7,MA,bank,-
5,Illustrate ACTION_SEND intent with example.,7,MA,bank,-
5,Discuss email extras used in Intent.,7,MA,bank,-
5,Explain implicit intent with example.,7,MA,bank,-
5,Describe email application workflow.,7,MA,bank,-
5,Design and discuss email sending app.,15,MA,bank,-
5,Analyze Intent object for email sending.,15,MA,bank,-
5,Describe Android email application design.,15,MA,bank,-
5,Discuss implicit intents and email integration.,15,MA,bank,-
5,Outline steps involved in sending email.,15,MA,bank,-
1,State the main components involved in a data communication system.,2,CNS,bank,-
1,Mention the essential characteristics of a data communication system.,2,CNS,bank,-
1,What is meant by the OSI reference model?,2,CNS,bank,-
1,State the concept of computer networking.,2,CNS,bank,-
1,List the various multiplexing techniques.,2,CNS,bank,-
1,Distinguish between half-duplex and full-duplex transmission.,2,CNS,bank,-
1,Mention any two examples of guided transmission media.,2,CNS,bank,-
1,Compare point-to-point and multipoint communication.,2,CNS,bank,-
1,List any two types of computer networks.,2,CNS,bank,-
1,State the meaning of radio waves in wireless communication.,2,CNS,bank,-
1,Distinguish between LAN and WAN.,2,CNS,bank,-
1,Name any two types of transmission media.,2,CNS,bank,-
1,State the importance of circuit switching in networking.,2,CNS,bank,-
1,What is meant by network topology?,2,CNS,bank,-
1,List the seven layers of the OSI model.,2,CNS,bank,-
1,Discuss the different multiplexing techniques with suitable explanation.,7,CNS,bank,-
1,Write a brief note on components and characteristics of data communication.,7,CNS,bank,-
1,Describe various network topologies with suitable diagrams.,7,CNS,bank,-
1,Examine guided and unguided transmission media in detail.,15,CNS,bank,-
1,Describe guided transmission media and their applications.,7,CNS,bank,-
1,Discuss unguided transmission media along with their advantages.,7,CNS,bank,-
1,Explain the OSI model and functions of its seven layers.,15,CNS,bank,-
1,Differentiate between packet switching and circuit switching.,7,CNS,bank,-
2,State the concept of error detection and correction.,2,CNS,bank,-
2,What is meant by cyclic redundancy check (CRC)?,2,CNS,bank,-
2,List any two error detection techniques.,2,CNS,bank,-
2,State the meaning of hamming distance.,2,CNS,bank,-
2,Mention the different operating modes of HDLC.,2,CNS,bank,-
2,Explain how hamming distance is calculated with an example.,2,CNS,bank,-
2,List the classes of IPv4 addresses along with their ranges.,2,CNS,bank,-
2,State the purpose of High-Level Data Link Control (HDLC).,2,CNS,bank,-
2,What is meant by Point-to-Point Protocol (PPP)?,2,CNS,bank,-
2,State the differences between HDLC and PPP.,2,CNS,bank,-
2,Mention any two advantages of DHCP.,2,CNS,bank,-
2,Discuss character-oriented and bit-oriented framing techniques.,7,CNS,bank,-
2,Compare connection-oriented and connectionless protocols.,7,CNS,bank,-
2,Analyze the structure and types of HDLC frames.,15,CNS,bank,-
2,Discuss cyclic redundancy check with a suitable example.,15,CNS,bank,-
